3QZZQD3C2CLA2PCGYE3AGK2WKQ	I LOVE PAINTBBALLING!!! <br> <br/> 16yrs old <br> <br/> washington <br> <br/> single <br> <br/> in love <br> <br/> highschool <br> <br/> working <br> <br/> B+ student <br> <br/> loves seattle and raves!<33
35WGZWYI7HOXJSGPVWZIS6RWGM	My nickname is an abbreviation for "Not Minnesota Nice." Minnesota Nice refers to people who are so overly polite that they never confront anyone, rarely debate anything -- and often get taken advantage of by scammers, telemarketers, etc. A lot of Minnesotans really are like that -- hence the stereotype. But not ME! <br> <br/> <br> <br/> I am also a professional writer/researcher (my typos are due to dyslexia, not ignorance of spelling!) I live with my wife on a small hobby farm in northern Minnesota. We live on a farm with 2 dogs, 14 cats, 5 geese, a flock of chickens and a tarantula. Plus lots of wildlifez.
352UNA7NIAW6ZMNHIB3PYTPWI4	Well, i am tim lee. i live in cleveland hoio and i live a totally normal teenage life barely getting through the stress of school and coming here to seek help in understanding the lierature i am encounting this school year.
3L4DWYJWJ4J4Q7ZQ5ODHWLUT4U	check me out my youtube channel: <br> <br/> <br> <br/> <a href="http://www.youtube.com/user/myrealghostbusters?feature=mhee" rel="nofollow">http://www.youtube.com/user/myrealghostb...</a> <br> <br/> name: Ralph Powers Jr. (31) <br> <br/> Birthdate: January 3, 1980 (next Tuesday 32 years old) <br> <br/> Hometown: Waukesha, Wisconsin <br> <br/> favorite food: fried chicken <br> <br/> favorite sport: Nascar <br> <br/> favorite movie: Ghostbusters <br> <br/> favorite song: Ghostbusters and Eye Of The Tiger <br> <br/> favorite show: Monk, and Married With Children <br> <br/> <br> <br/> 5/11/2013 11:21am Waukesha, Wisconsin time
3IXMPFY4VQOT2UOC7WTJGCRWI4	I am female 21yrs old Missouri I love hunting, fishing, pretty much anything outdoors...
3LF7TWD2NDYAS5NOGBPLMJLKU4	I'm an engineer working here in dubai. I worked also as an instructor for mathematics, physics, and several engineering subjects in a university in the Philippines.
3KVMUOLVHM5GB3XADBEIW7PL24	Currently on retreat in a cave the hills of Mexico researching psychotropic nachos.
3DJUSRFSAHSWE72DSJWAOXB6BY	"He who would sacrifice Liberty for a little temporary security deserves neither ""~B.Franklin"" <br> <br/> <br> <br/> I am all about social justice, the way things are and the way that they're supposed to be, but just like so many people we all know, until now I've really never known what to do about it, I had come to the realization that the officials sworn to serve and protect the people of The United States have no real loyalty to us, at least not to those of us without money. <br> <br/> <br> <br/> Then I decided there has to be a way to change the fact that corporations have more of a say than the people, after all this is America, man. <br> <br/> <br> <br/> Now, I'm all about being grateful for what we do have and finding ways to make things better and to do that we have to start from where we're at and turn this country from its free fall into greed and corruption. The way to begin changing these things may be to start focusing on putting out positive energy and the way you do that is through your thoughts & actions.
36AIWOOZPJGNF3A7A2IBDAYZHQ	Well My favorite color is pink. Im a sucker for cute preppy guys, especially Zac Efron. I love to drive and hang out in Oregon with me friends. You can check me out on myspace at www.myspace.com/daleighsha <br> <br/> <br> <br/> <br> <br/> <br> <br/> Later dudes, Daleighsha
3B4BKED6OGQIER3BWECPATE2DU	Actual label instructions on consumer products: <br> <br/> <br> <br/> 3. On a Taiwanese shampoo - USE REPEATEDLY FOR SEVERE DAMAGE. <br> <br/> <br> <br/> 5. On a New Zealand insect spray - THIS PRODUCT NOT TESTED ON ANIMALS. <br> <br/> <br> <br/> 10. On a Sears hairdryer - DO NOT USE WHILE SLEEPING. <br> <br/> <br> <br/> 11. On a bag of Fritos - YOU COULD BE A WINNER! NO PURCHASE NECESSARY. DETAILS INSIDE. (The shoplifter special!) <br> <br/> <br> <br/> 16. On a string of Chinese-made Christmas lights - FOR INDOOR OR OUTDOOR USE ONLY. (As opposed to use in outer space?) <br> <br/> <br> <br/> 19. On an American Airlines packet of nuts INSTRUCTIONS - OPEN PACKET, EAT NUTS. (I'm glad theyz cleared that up.)
3QFP3VKRMLUK7TILILTHGVHURI	I'm hoping to have a future in politics. I'm independent, but more liberal on social issues. Here are my stances: <br> <br/> <br> <br/> Pro gay marriage <br> <br/> Pro choice <br> <br/> Pro legalization of marijuana <br> <br/> Against the PATRIOT Act <br> <br/> Against increases in welfare spending <br> <br/> Against Obamacare <br> <br/> Against US intervention in most foreign affairs
3KGDTBUM2Y36HKNO6ORJLRZLCQ	Pharmacist specializing in Internal Medicine. <br> <br/> <br> <br/> Education: Ferris State University - Big Rapids, MI <br> <br/> Residency: Mercy Health Partners - Muskegon, MI
3TYEE3GP5O7RV47D6CEQGUMDAQ	I'm a 20 -year-old girl that is been in love with her Amazing nurse of a boyfriend for almost six years. I have the most amazing dog named Hershey, a fat mean lazy cat, six fish -one looking like an eel and, a praying mantis named Marcy. I am a licensed cosmetologist in the state of Pennsylvania but I'm currently working as a cashier strangely. My goal for the year is to start writing a book.
3RDBQKNAISOQFTVIJ3JHUZU5LI	I'm a cynical and surly 29 year old gal that’s anxiously waiting out these last two months of my twenties while living in Orange County, CA (currently). I've lived here for 5 years now, which is pretty amazing since I spent most of my early twenties as a vagabond. <br> <br/> <br> <br/> In the time I have lived in SoCal I have been in a plethora of bands playing the bass guitar and doing backup vocals. I enjoy traveling all around the world and this beautiful state. There are so many different types of things to do in California and I feel so lucky to have had such a long stay here. <br> <br/> <br> <br/> What I aspire to do in my years to come would be: <br> <br/> Standup Comedy, Write a book, Have my own sitcom (which is really easy nowadays with all the reality crap that’s popping up), visit family members that I have not seen in a really long time, continue to work on my own music, stop thinking about how many licks it takes to get to the center of a Tootsie Pop, etc. <br> <br/> <br> <br/> In a nutshell, that’s me.
37YT3BJISR2Q3SYPSB5FD6ZHJE	Hi! I'm a 25 year old chick from Sydney and love having a laugh while sharing a bottle of red wine (or two... or three) with friends..
3JZBQTY5LLBXGXBNUUHG7HIUPM	Hi, I'm Brenda! Here's a few things about me: <br> <br/> -I'm technically a college student now. <br> <br/> -I like playing video games including pokemon when I get the chance. :) <br> <br/> -I like volleyball and soccer. :D <br> <br/> -Music keeps me sane! <br> <br/> -I am apparently smart. O.o <br> <br/> -I have an obsession with the color blue. <br> <br/> -My life is paradoxical. <br> <br/> -Carpe Diem. <br> <br/> -I know English, Spanish, and some French. <br> <br/> -Johnny Depp♥ <br> <br/> -I'm not really into politics, but I am into medicine. z<br> <br/> -I can be very blunt. <br> <br/> -I live in the US. <br> <br/> -I take honesty and trust seriously. <br> <br/> -I have epiphanies only an insomniac will have. <br> <br/> -Writing is my passion & art is my hobby. (: <br> <br/> -I have my ditzy and random moments. <br> <br/> -I don't consider myself better than anyone. <br> <br/> <br> <br/> I like to make friends and have fun, so e-mail me or add me or both♥ <br> <br/> <br> <br/> TC: <br> <br/> Yahoo!Answers:8/3/09 to 9/27/09
3Y5D5MNKV2M5N6LZN5YRZ344HY	46yo married woman with children currently living in the Midwest of the US. Far too many interests to list here. I will not answer an instant message unless you tell me who you are and how I know you.
3VBCHTZNVSR5YTDQJILNBA5JIU	My husband and I have moved back to the Pacific Northwest (where I'm from). We were on a permaculture farm in the high mountain desert area of Idaho. <br> <br/> <br> <br/> We raise meat goats, and a very few sheep as well. This year we hope to add chickens and turkeys to our farm. <br> <br/> <br> <br/> We are making headway with the perminant edible plantings. Fruit trees and herbs mostly this year. Also a few artichokes. <br> <br/> <br> <br/> Worried about the enviroment? Please buy from small farmers, and farmer's markets. Yzou will be doing a GREAT deal to help the enviroment if you do! <br> <br/> <br> <br/> NOTE: If you connect to me, and I do not see a question we have answered in common, and/or if your email is private, I will automatically block you, no matter how many points you have. Send me an email and ask, or tell me why FIRST.
3APANE2PEIMVHZMLP3RYU3X63Y	A guy from the UK
3GQRHRHNKDTZWZRAGSAP6NO42Y	Look I'm 47 yrs old ...... and don't LOOK for men.... (he approached me in a very public place ..... bumped into him again and he bought me lunch ..... just friendly.(didn't email him till I was back in US) then he was on phone constantly) ......he says he misses me ALL the TIME.... I just need another point of view ...oh that was a year last july ... and he speaks to me at least 3 times a week ...
3DYEF65QORJ2SQYGKPQNAZMRQI	I am a civil engineer from Greece
3NPSRUE5EQNQX6JJTHITNYTRZY	Hi My name is Gustavo And I live in Texas
3W2HFYLV4W37WJD6GLU6JLUTXQ	Hey Everyone my is Karina I live in California! <br> <br/> <br> <br/> I am a very happy person I laugh a lot and Im always talking! <br> <br/> <br> <br/> At first you think I'm a very shy person but once you start to know me you realize I talk a lot! <br> <br/> <br> <br/> Well Yeah Thats me!=D
3EYS6WGWO4QML62Y35DXLTV65I	i have a wonderful bf. matthew! i have a ton of friends. im in high school in south carolina. i have two sisters. i am a Christian. i love God with all my heart :) <3
3GZGLCGXXTJ5756DK3KRFZH4IY	I've been an international marketing consultant for Canadian companies coming into the US. Now I'm a travel writer living in Boston and letting everyone else know about the wonderful places Canada has to offer.
3CI6EDIKDF6XFVIZXV77GCTVYE	I'm just a 14 year old scrub sent here from Montclair, NJ to answer your questions and occasionally offend you. I hope you enjoy my presence. <br> <br/> <br> <br/> Here's what I listen to: <br> <br/> <a href="http://www.last.fm/user/NinjaCrackWhore" rel="nofollow">http://www.last.fm/user/NinjaCrackWhore</a> <br> <br/> <br> <br/> Add me, I'm in need of friends.
3TSWFFMGGPQC65V6DXGD2QH63Q	28 year old from San Diego. Getting a little old for having so much fun but i don't mind much. <br> <br/> <br> <br/> putting together a so cal electronic music site.. don't laugh it is still in the works ;D <br> <br/> <br> <br/> <a href="http://www.socalsinistersounds.com/" rel="nofollow">http://www.socalsinistersounds.com/</a> <br> <br/> <br> <br/> Can find a mix of mine on that site if you're into electro and progressive at all. <br> <br/> <br> <br/> Ill be at Monster Massive this year so say hi if you see me. <br> <br/> <br> <br/> <a href="http://www.socalsinistersounds.com/monster-massive-lineup-2008-pic-video/" rel="nofollow">http://www.socalsinistersounds.com/monst...</a> <br> <br/> <br> <br/> Music and dancing are my things.. can't get enough twisted house beats.
3RSCX3QJDRCGOQQAIPXE3MXMWY	20 year old education major from Tampa area in Florida, my family is from jasper alabama. I love to dance, write poetry, and sing even if i can't ; 0 ). Pretty much a girly girl who can chill out with the guys!! I love to meet new people, and look forward to answering people's questions when i am BORED at work. My name is Brittni, my nickname is Bella, if you ever need an ear (even if I don't know you) I am a very caring person so just IM me at MSAPPLEBOTTOMCULO. #1 GATOR FAN
